着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
6.0,5,8,デリュージョン,牡3,55.0,松山,1:34.1,クビ,5,11.4,35.1,7-6,栗東奥村豊,462(0),0,1600,芝,晴,良
7.0,8,13,バンディート,牡5,58.0,松若,1:34.2,クビ,12,84.1,35.8,1-1,栗東東田,526(+15),0,1600,芝,晴,良
8.0,2,2,マルモア,牝4,56.0,Ｍデム,1:34.2,クビ,8,22.7,34.7,12-11,栗東松永幹,418(0),0,1600,芝,晴,良
9.0,7,11,ルクスマーベリック,セ4,58.0,酒井,1:34.5,1.3/4,9,28.9,35.6,5-6,栗東松永幹,444(-4),0,1600,芝,晴,良
10.0,7,12,ダイシンラー,牡3,54.0,☆吉村,1:34.5,クビ,7,16.4,35.8,9-3,栗東梅田,502(-2),0,1600,芝,晴,良
11.0,3,3,ダノンクロム,牡5,58.0,坂井,1:34.6,アタマ,2,4.3,35.9,3-3,栗東東田,534(-2),0,1600,芝,晴,良
12.0,5,7,タガノヘラクレス,牡4,57.0,☆高杉,1:34.7,3/4,11,47.0,35.5,8-9,栗東千田,506(-6),0,1600,芝,晴,良
13.0,4,6,マッハレイジング,牡3,55.0,和田竜,1:35.7,6,13,299.2,36.2,11-11,栗東小崎,470(0),0,1600,芝,晴,良
14.0,1,1,パトジュニア,牡4,58.0,小崎,1:36.2,3,14,440.0,36.2,12-14,栗東小崎,510(-5),0,1600,芝,晴,良
1.0,6,11,グッバイウェーブ,牝3,55.0,横山武,1:08.8,,7,15.1,35.2,1-1,美浦中川,450(-6),1,1200,芝,曇,良
2.0,3,6,フィリグラン,牝3,55.0,原,1:08.9,クビ,14,189.5,34.7,5-6,栗東森田,418(+6),1,1200,芝,曇,良
3.0,5,10,ルブリアン,牡3,54.0,▲鷲頭,1:08.9,クビ,9,36.4,35.1,2-2,栗東佐々木,488(0),1,1200,芝,曇,良
4.0,4,7,ワタシマツワ,牝3,51.0,★小林美,1:09.0,1/2,10,44.2,35.1,3-2,美浦竹内,408(+4),0,1200,芝,曇,良
